No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
591;Pancoran Mas;2;1;36;72;370000000;Sederhana
592;Beji;2;1;48;84;600000000;Menengah
593;Cipayung;2;1;36;72;330000000;Sederhana
594;Pancoran Mas;2;1;45;78;550000000;Sederhana
595;Sukmajaya;3;2;150;78;725000000;Sederhana
596;Pancoran Mas;7;3;;1035;6000000000;Mewah
597;Pancoran Mas;2;1;50;102;550000000;Menengah
598;Cimanggis;5;2;200;128;1290000000;Menengah
599;Beji;3;3;180;95;1500000000;Menengah
600;Pancoran Mas;3;3;200;200;1200000000;Menengah
601;Pancoran Mas;3;2;200;300;3000000000;Mewah
602;Pancoran Mas;6;3;450;512;5900000000;Mewah
603;Pancoran Mas;3;2;150;201;2200000000;Mewah
604;Pancoran Mas;3;2;62;72;697000000;Sederhana
605;Pancoran Mas;2;1;45;66;275000000;Sederhana
606;Cinere;4;4;170;154;2400000000;Menengah
607;Cilodong;3;2;96;60;580000000;Sederhana
608;Cimanggis;3;2;70;123;1300000000;Menengah
609;Sukmajaya;3;2;200;253;2500000000;Mewah
610;Cimanggis;2;1;36;0;285000000;Sederhana
611;Cilodong;3;2;100;96;375000000;Menengah
612;Pancoran Mas;3;2;70;60;650000000;Sederhana
613;Cilodong;4;4;247;240;1980000000;Mewah
614;Beji;10;6;1030;587;9950000000;Mewah
615;Beji;3;2;65;66;825000000;Sederhana
616;Beji;2;2;60;89;680000000;Menengah
617;Beji;2;1;40;49;489000000;Sederhana
618;Beji;2;2;88;50;750000000;Sederhana
